 Profile "temperature" initialized from data/profiles/atmosphere/ussa.temp
 # Profile: temperature (K)
 # number of cells:         120
 # height (km), mid-point, delta, layer density, exo layer density, burden density
  1.1150000000000000E+002,  2.5800000000000000E+002,  1.2000000000000000E+001,25800000.000000000000,25800000.000000000000,274800000.00006002188
  1.1250000000000000E+002,  2.7000000000000000E+002,  1.2000000000000000E+001,27000000.000000000000,27000000.000000000000,249000000.00006002188
  1.1350000000000000E+002,  2.8200000000000000E+002,  1.2000000000000000E+001,28200000.000000000000,28200000.000000000000,222000000.00006002188
  1.1450000000000000E+002,  2.9400000000000000E+002,  1.2000000000000000E+001,29400000.000000000000,29400000.000000000000,193800000.00006002188
  1.1550000000000000E+002,  3.0600000000000000E+002,  1.2000000000000000E+001,30600000.000000000000,30600000.000000000000,164400000.00006002188
  1.1650000000000000E+002,  3.1800000000000000E+002,  1.2000000000000000E+001,31800000.000000000000,31800000.000000000000,133800000.00006000698
  1.1750000000000000E+002,  3.3000000000000000E+002,  1.2000000000000000E+001,33000000.000000000000,33000000.000000000000,102000000.00006000698
  1.1850000000000000E+002,  3.4200000000000000E+002,  1.2000000000000000E+001,34200000.000000000000,34200000.000000000000,69000000.000060006976
  1.1950000000000000E+002,  3.4800000000060004E+002,  1.2000214155705180E-009,34800000.000060006976,34800000.000060006976,34800000.000060006976
---, ---, ---, ---,  0.0000000000000000E+000, ---
 # height (km), edge
  0.0000000000000000E+000,  2.8814999999999998E+002
  1.0000000000000000E+000,  2.8165100000000001E+002
  2.0000000000000000E+000,  2.7515400000000000E+002
  3.0000000000000000E+000,  2.6865899999999999E+002
  4.0000000000000000E+000,  2.6216600000000000E+002
  5.0000000000000000E+000,  2.5567599999999999E+002
  6.0000000000000000E+000,  2.4918700000000001E+002
  7.0000000000000000E+000,  2.4269999999999999E+002
  8.0000000000000000E+000,  2.3621500000000000E+002
  9.0000000000000000E+000,  2.2973300000000000E+002
  1.0000000000000000E+001,  2.2325200000000001E+002
  1.1000000000000000E+001,  2.1677400000000000E+002
  1.2000000000000000E+001,  2.1665000000000001E+002
  1.3000000000000000E+001,  2.1665000000000001E+002
  1.4000000000000000E+001,  2.1665000000000001E+002
  1.5000000000000000E+001,  2.1665000000000001E+002
  1.6000000000000000E+001,  2.1665000000000001E+002
  1.7000000000000000E+001,  2.1665000000000001E+002
  1.8000000000000000E+001,  2.1665000000000001E+002
  1.9000000000000000E+001,  2.1665000000000001E+002
  2.0000000000000000E+001,  2.1665000000000001E+002
  2.1000000000000000E+001,  2.1758099999999999E+002
  2.2000000000000000E+001,  2.1857400000000001E+002
  2.3000000000000000E+001,  2.1956700000000001E+002
  2.4000000000000000E+001,  2.2056000000000000E+002
  2.5000000000000000E+001,  2.2155199999999999E+002
  2.6000000000000000E+001,  2.2254400000000001E+002
  2.7000000000000000E+001,  2.2353600000000000E+002
  2.8000000000000000E+001,  2.2452699999999999E+002
  2.9000000000000000E+001,  2.2551800000000000E+002
  3.0000000000000000E+001,  2.2650899999999999E+002
  3.1000000000000000E+001,  2.2750000000000000E+002
  3.2000000000000000E+001,  2.2849000000000001E+002
  3.3000000000000000E+001,  2.3097300000000001E+002
  3.4000000000000000E+001,  2.3374299999999999E+002
  3.5000000000000000E+001,  2.3651300000000001E+002
  3.6000000000000000E+001,  2.3928200000000001E+002
  3.7000000000000000E+001,  2.4205000000000001E+002
  3.8000000000000000E+001,  2.4481800000000001E+002
  3.9000000000000000E+001,  2.4758400000000000E+002
  4.0000000000000000E+001,  2.5034999999999999E+002
  4.1000000000000000E+001,  2.5311400000000000E+002
  4.2000000000000000E+001,  2.5587799999999999E+002
  4.3000000000000000E+001,  2.5864100000000002E+002
  4.4000000000000000E+001,  2.6140300000000002E+002
  4.5000000000000000E+001,  2.6416399999999999E+002
  4.6000000000000000E+001,  2.6692500000000001E+002
  4.7000000000000000E+001,  2.6968400000000003E+002
  4.8000000000000000E+001,  2.7064999999999998E+002
  4.9000000000000000E+001,  2.7064999999999998E+002
  5.0000000000000000E+001,  2.7064999999999998E+002
  5.1000000000000000E+001,  2.7064999999999998E+002
  5.2000000000000000E+001,  2.6903100000000001E+002
  5.3000000000000000E+001,  2.6627699999999999E+002
  5.4000000000000000E+001,  2.6352400000000000E+002
  5.5000000000000000E+001,  2.6077100000000002E+002
  5.6000000000000000E+001,  2.5801900000000001E+002
  5.7000000000000000E+001,  2.5526800000000000E+002
  5.8000000000000000E+001,  2.5251800000000000E+002
  5.9000000000000000E+001,  2.4976900000000001E+002
  6.0000000000000000E+001,  2.4702099999999999E+002
  6.1000000000000000E+001,  2.4427400000000000E+002
  6.2000000000000000E+001,  2.4152400000000000E+002
  6.3000000000000000E+001,  2.3878100000000001E+002
  6.4000000000000000E+001,  2.3603600000000000E+002
  6.5000000000000000E+001,  2.3329200000000000E+002
  6.6000000000000000E+001,  2.3054900000000001E+002
  6.7000000000000000E+001,  2.2780699999999999E+002
  6.8000000000000000E+001,  2.2506500000000000E+002
  6.9000000000000000E+001,  2.2232499999999999E+002
  7.0000000000000000E+001,  2.1958500000000001E+002
  7.1000000000000000E+001,  2.1684600000000000E+002
  7.2000000000000000E+001,  2.1426300000000001E+002
  7.3000000000000000E+001,  2.1230799999999999E+002
  7.4000000000000000E+001,  2.1035300000000001E+002
  7.5000000000000000E+001,  2.0839900000000000E+002
  7.6000000000000000E+001,  2.0644600000000000E+002
  7.7000000000000000E+001,  2.0449299999999999E+002
  7.8000000000000000E+001,  2.0254100000000000E+002
  7.9000000000000000E+001,  2.0059000000000000E+002
  8.0000000000000000E+001,  1.9863900000000001E+002
  8.1000000000000000E+001,  1.9668799999999999E+002
  8.2000000000000000E+001,  1.9473900000000000E+002
  8.3000000000000000E+001,  1.9278999999999999E+002
  8.4000000000000000E+001,  1.9084100000000001E+002
  8.5000000000000000E+001,  1.8889300000000000E+002
  8.6000000000000000E+001,  1.8687000000000000E+002
  8.7000000000000000E+001,  1.8687000000000000E+002
  8.8000000000000000E+001,  1.8687000000000000E+002
  8.9000000000000000E+001,  1.8687000000000000E+002
  9.0000000000000000E+001,  1.8687000000000000E+002
  9.1000000000000000E+001,  1.8687000000000000E+002
  9.2000000000000000E+001,  1.8696000000000001E+002
  9.3000000000000000E+001,  1.8725000000000000E+002
  9.4000000000000000E+001,  1.8774000000000001E+002
  9.5000000000000000E+001,  1.8841999999999999E+002
  9.6000000000000000E+001,  1.8931000000000000E+002
  9.7000000000000000E+001,  1.9040000000000001E+002
  9.8000000000000000E+001,  1.9172000000000000E+002
  9.9000000000000000E+001,  1.9328000000000000E+002
  1.0000000000000000E+002,  1.9508000000000001E+002
  1.0100000000000000E+002,  1.9716000000000000E+002
  1.0200000000000000E+002,  1.9953000000000000E+002
  1.0300000000000000E+002,  2.0222999999999999E+002
  1.0400000000000000E+002,  2.0531000000000000E+002
  1.0500000000000000E+002,  2.0884000000000000E+002
  1.0600000000000000E+002,  2.1288999999999999E+002
  1.0700000000000000E+002,  2.1763000000000000E+002
  1.0800000000000000E+002,  2.2328999999999999E+002
  1.0900000000000000E+002,  2.3033000000000001E+002
  1.1000000000000000E+002,  2.4000000000000000E+002
  1.1100000000000000E+002,  2.5200000000000000E+002
  1.1200000000000000E+002,  2.6400000000000000E+002
  1.1300000000000000E+002,  2.7600000000000000E+002
  1.1400000000000000E+002,  2.8800000000000000E+002
  1.1500000000000000E+002,  3.0000000000000000E+002
  1.1600000000000000E+002,  3.1200000000000000E+002
  1.1700000000000000E+002,  3.2400000000000000E+002
  1.1800000000000000E+002,  3.3600000000000000E+002
  1.1900000000000000E+002,  3.4800000000000000E+002
  1.2000000000000000E+002,  3.4800000000120002E+002
